countycode,state,amount_1990s,amount_2000s,amount_2010s
13157,GA,8500,45641.68,20081.68
13159,GA,27818.04,0,45582.95999999999
13161,GA,9964.369999999999,16992,20617.32
13163,GA,0,0,2299.96
13165,GA,53047.21000000001,709.6,4594.4
13169,GA,7857.959999999999,30895.64,0
13171,GA,0,0,15537.6
13173,GA,0,0,9070.99
13175,GA,903493.78,92111.93999999999,246428.37
13177,GA,11834117.66,1139169.59,1422530.53
13179,GA,71570.08,78015.56,2232127.5700000003
13183,GA,0,0,19346.84
13185,GA,119804.11000000002,2259657.65,120567.88
13187,GA,14614.330000000002,725,19991.1
13191,GA,40728.13,78758.22,932328.97
13193,GA,35638.31,0,2071.53
13195,GA,0,0,1448.27
13201,GA,56806.05,169638.97,8250.17
13205,GA,1429270.3,290612.86,350770.84
13207,GA,2356545.86,20843.72,257118.91
13209,GA,26626.85,119683.15,117011.04999999999
13211,GA,0,0,0
13213,GA,60911.53,236490.13,285040.08
13215,GA,200094.53999999998,371551.36,1052413.08
13217,GA,174819.49,101122.26,243915.76
13219,GA,0,3940.45,0
13223,GA,0,848634.5300000001,15273.79
13225,GA,0,10631.77,60000
13227,GA,54202.79,26985.9,46226.96
13229,GA,0,327675.49000000005,4058.89
13231,GA,0,0,532.46
13233,GA,124832.51000000001,3739.19,33359.130000000005
13235,GA,91603.39,0,141097.42
13237,GA,0,2370.37,0
13241,GA,0,223110.9,19009.989999999998
13245,GA,2033989.22,861221.58,451207.85
13247,GA,58602.82,955678.95,101580.29000000001
13251,GA,0,0,0
13253,GA,225021.93,1027806.9800000001,305825.1
13255,GA,35241.78,34306.71,59966.64
13257,GA,0,93546.98,0
13261,GA,13931.630000000001,40179.1,19725.780000000002
13263,GA,59457.34,0,31229.800000000003
13267,GA,0,138084.82,2654.13
13269,GA,0,0,7004.24
13271,GA,71002.51,11000,12381.32
13273,GA,9728.92,0,41931.299999999996
13275,GA,272746.3,422851.76,1306075.36
13277,GA,920077.96,1508740.34,1034702.49
13279,GA,178128.03,28284.39,48582
13281,GA,2659,24591.16,166383.48
13285,GA,161965.55,430977.36,879068.43
13287,GA,0,0,0
13289,GA,0,1563.25,0
13291,GA,49633.23,211725.44,146945.13
13293,GA,105455.65,27244.79,73278.73999999999
13295,GA,422907.79000000004,1937109.0899999999,16468.69
13297,GA,22294.15,35100.97,150297.03
13299,GA,8912.47,56035.090000000004,102413.77
13303,GA,6154.4000000000005,3728.3,36633.82
13305,GA,0,5653.07,50534.78999999999
13309,GA,50015.73,0,23777.46
13311,GA,0,58299.439999999995,67446.74
13313,GA,579771.4,233406.84999999998,536254.96
13321,GA,82823.18000000001,260164.57,134218.41
15001,HI,1549662.86,3078811.43,12165213.61
15003,HI,9986175.81,9946823.81,29600940.86
15007,HI,28627767.669999998,715990.27,8742792.459999999
15009,HI,1068012.4600000002,2554515.15,2945602.16
16001,ID,104080.04,52030.07,325549.7
16003,ID,3500,0,5888.5
16005,ID,0,53909.399999999994,35733.24
16009,ID,574449.14,24773.93,5318.61
16011,ID,83066.57,1323.99,11618.9
16013,ID,28571.71,534610.1900000001,2876803.64
16015,ID,0,0,35644.71
16017,ID,69844.36,33095.83,44518.03
16019,ID,35909.7,1411.39,1539.9
16021,ID,0,8394.96,0
16027,ID,1829.16,0,56539.29
16029,ID,0,0,8022.55
16031,ID,0,63439.51,0
16035,ID,3270.5,33277.71,0
16037,ID,1902.49,0,0
16039,ID,0,6256.5,101768.67000000001
16041,ID,0,2525.03,0
16043,ID,0,0,40504.89
16045,ID,1937.72,0,11885.29
16047,ID,9872.21,0,0
16049,ID,9890.76,0,0
16051,ID,98760.03,16904.67,0
16055,ID,484468.12,75640.36,182319.19
16057,ID,214899.58000000002,5186.8,334919.22000000003
16059,ID,750,12309.8,175005.27
16063,ID,29904.17,0,5606.42
16065,ID,14541.82,0,1367.33
16067,ID,165737.59,0,21553.800000000003
16069,ID,23787.49,4179.2,0
16071,ID,0,0,0
16075,ID,77625.44,0,169194.44
16079,ID,719914.75,100144.88,8337.43
16081,ID,0,5464.07,5936.450000000001
16083,ID,500,1089.42,13917.310000000001
16085,ID,0,0,0
16087,ID,803398.28,0,175625.47
17001,IL,3864452,5988518.99,3343116.9
17003,IL,82346.16,187167.78000000003,2108854.04
17005,IL,0,0,0
17007,IL,24871.77,62719.340000000004,165158.75999999998
17009,IL,105827.14000000001,181432.72999999998,138348.58
17011,IL,16730.760000000002,29184.48,120964.51000000001
17013,IL,7935576.2700000005,2159861.33,4064966.46
17015,IL,31625.300000000003,209193.49,564902.3
17017,IL,197889.65,195100.59999999998,224901
17019,IL,807123.4299999999,547823.56,330869.94
17021,IL,0,9400.37,176319.2
17023,IL,0,124947.37000000001,83583.68
17025,IL,0,0,21568.760000000002
17027,IL,26593.739999999998,51244.1,485934.69999999995
17029,IL,119648.43999999999,271192.35000000003,165210.15
17031,IL,5265040.529999999,40799474.5,68164433.51
17033,IL,0,453068.43,84632.54999999999
17035,IL,5726.25,6884.6900000000005,0
17037,IL,1386146.1400000001,2228973.65,213538.19
17039,IL,270586.68,13455.740000000002,15850.74
17041,IL,310457.63,222960.19,473165.68
17043,IL,1791176.7,12340807.32,29237482.13
17045,IL,33634.65,5134.88,0
17049,IL,48000,0,3256.67
17051,IL,0,3460.64,0
17053,IL,6703.69,0,1101.13
17055,IL,205295.84000000003,163457.21000000002,141401.82
17057,IL,596292.63,351043.74,601749.72
17059,IL,77495.72,92785.01999999999,691021.5800000001
17061,IL,1752213.4799999997,401.42,29872.27
17063,IL,233284.89,1367303.04,2532760.54
17065,IL,0,0,0
17067,IL,2178365.84,4241922.92,437235.58
17069,IL,57368.81,734.51,150674.77
17071,IL,1161552.7,8879026.58,1865475.34
17073,IL,289885.06,506307.18,741510.4600000001
17075,IL,359473.75,7492809.43,8641970.51
17077,IL,139639.16,239980.33000000002,1016120.17
17079,IL,18575.7,108326.77000000002,877.96
17081,IL,0,55557.73,149635.09
17083,IL,9573075.629999999,5284035.85,5758965.49
17085,IL,993764.71,917702.7699999999,1912867.31
17087,IL,0,12123.89,0
17089,IL,4454400.38,3656003.11,1764958.2
17091,IL,458301.30000000005,3001088.99,5600599.9399999995
17093,IL,1686406.47,841227.08,582305.87
17095,IL,113589.29000000001,95967.35999999999,169425.09
17097,IL,1258738.74,3732092.79,17072064.56
17099,IL,2955588.85,3582467.44,4051464.74
17101,IL,10224.55,94686.32,158674.96000000002
17103,IL,403736.71,111155.61,59444.53
17105,IL,34565.54,1592921.74,82741.83
17107,IL,34780.74,31274.86,67103.88
17109,IL,35605.6,29338.41,63145.16
17111,IL,1075839.32,1263163.56,3881239.98
17113,IL,263549.02,538432.45,272097.8
17115,IL,479375.17000000004,433960.78,81102.5
17117,IL,130769.61,40679.29,21625.98
17119,IL,2833250.99,1030978.64,2098194.96
17121,IL,530204.6900000001,11259.74,10137.52
17123,IL,110453.35,123787.48,291594.89
17125,IL,834284.6100000001,592644.23,1426023.14
17127,IL,144595.04,2467,2222664.93
17129,IL,79748.78,39423.47,24785.63
17131,IL,779178.53,567579.69,0
17133,IL,22227378.230000004,23811.670000000002,332713.87
17135,IL,16501.239999999998,192366.05,57234.53
17137,IL,178144.9,64105.84,963262.09
17139,IL,0,114604.07,0
17141,IL,1118495.78,459024.13,1617195.16
17143,IL,1986954.9200000002,3602965.7500000005,7207928.91
17145,IL,0,17963.4,9739.17
17147,IL,0,102491.36,231265
17149,IL,6143696.11,443642.67,889895.2799999999
17153,IL,0,20703.95,28976.17
