countycode,yearofloss,state,amount_paid
01069,2013,AL,251664.91
01069,2014,AL,12525.4
01069,2015,AL,380144.66
01069,2016,AL,122577.34
01069,2017,AL,0
01069,2018,AL,40938.75
01071,1979,AL,24899.83
01071,1980,AL,2735.83
01071,1982,AL,3253.5
01071,1983,AL,1566
01071,1989,AL,1561.53
01071,1990,AL,39548.49
01071,1994,AL,12841.56
01071,1995,AL,4155.61
01071,1998,AL,19054.48
01071,1999,AL,0
01071,2001,AL,14088.12
01071,2003,AL,181698.36000000002
01071,2008,AL,266.47
01071,2009,AL,2277.32
01071,2010,AL,178305.71
01071,2011,AL,3020.79
01071,2012,AL,20037.73
01071,2013,AL,3180.03
01071,2015,AL,36705.03
01071,2018,AL,21663.32
01073,1977,AL,31207.67
01073,1978,AL,17199.43
01073,1979,AL,2002521.03
01073,1980,AL,78382.35
01073,1981,AL,39980.94
01073,1982,AL,279873.32999999996
01073,1983,AL,1960549.32
01073,1984,AL,2068.52
01073,1985,AL,17447.27
01073,1986,AL,5372.89
01073,1987,AL,0
01073,1988,AL,5396.3499999999995
01073,1989,AL,16675.25
01073,1990,AL,81955.70999999999
01073,1991,AL,21050.8
01073,1992,AL,14761.47
01073,1993,AL,1889.85
01073,1994,AL,4709.42
01073,1995,AL,970724.12
01073,1996,AL,395441.56
01073,1997,AL,51091.18
01073,1998,AL,223737.62
01073,1999,AL,1571172.2
01073,2000,AL,1713752.11
01073,2001,AL,209760.15
01073,2002,AL,1283113.4
01073,2003,AL,7798943.78
01073,2004,AL,2936582.46
01073,2005,AL,551179.0499999999
01073,2006,AL,311185.02
01073,2007,AL,16001.86
01073,2008,AL,289121.99
01073,2009,AL,230847.22
01073,2010,AL,23215.46
01073,2011,AL,6094497.87
01073,2012,AL,170259.44
01073,2013,AL,509856.29000000004
01073,2014,AL,5319008.05
01073,2015,AL,964159.79
01073,2016,AL,22306.21
01073,2017,AL,430771.54000000004
01073,2018,AL,232456.26
01073,2019,AL,91914.13
01075,1979,AL,14514.18
01075,1982,AL,2442.5
01075,1983,AL,36079.5
01075,1985,AL,6894.75
01075,2001,AL,11868.23
01075,2004,AL,12461.22
01077,1978,AL,632.86
01077,1979,AL,47195.19
01077,1980,AL,350
01077,1981,AL,1372.12
01077,1989,AL,0
01077,1990,AL,29390.530000000002
01077,1991,AL,66474.83
01077,1993,AL,0
01077,1994,AL,22836.199999999997
01077,1995,AL,0
01077,1996,AL,0
01077,1998,AL,85815.25
01077,1999,AL,4666.42
01077,2001,AL,1161.5900000000001
01077,2002,AL,187226.61
01077,2003,AL,346646.17
01077,2004,AL,60815.74
01077,2005,AL,0
01077,2006,AL,0
01077,2009,AL,59626.700000000004
01077,2010,AL,107049.26000000001
01077,2013,AL,36054.81
01077,2014,AL,29825.100000000002
01077,2015,AL,0
01077,2018,AL,8904.68
01077,2019,AL,155742.22
01079,1983,AL,20057.739999999998
01079,1984,AL,22630.190000000002
01079,1990,AL,34458.45
01079,1991,AL,21514.600000000002
01079,1995,AL,18044.64
01079,1997,AL,9820.67
01079,1998,AL,7690.63
01079,1999,AL,8765.39
01079,2004,AL,14912.51
01079,2009,AL,78272.59
01079,2011,AL,119979.26000000001
01079,2015,AL,206468.44
01079,2019,AL,8421.17
01081,1979,AL,2105.17
01081,1981,AL,15040.19
01081,1983,AL,5794.82
01081,1990,AL,600
01081,1995,AL,13254.41
01081,1996,AL,1292.62
01081,1999,AL,49499.3
01081,2000,AL,7898.98
01081,2001,AL,5478.76
01081,2004,AL,2734.16
01081,2007,AL,0
01081,2009,AL,1076.68
01081,2011,AL,0
01081,2012,AL,0
01081,2013,AL,10943.5
01081,2014,AL,0
01081,2015,AL,81614.46999999999
01081,2017,AL,0
01081,2018,AL,12680.54
01081,2019,AL,0
01083,1980,AL,3543.8
01083,1983,AL,7978.99
01083,1989,AL,1059.46
01083,1990,AL,22428.56
01083,1991,AL,0
01083,1996,AL,1723.02
01083,1998,AL,0
01083,1999,AL,36352.25
01083,2002,AL,0
01083,2003,AL,37580.2
01083,2004,AL,0
01083,2005,AL,0
01083,2008,AL,6091.98
01083,2009,AL,6745.25
01083,2011,AL,31371.809999999998
01083,2012,AL,11695.56
01083,2015,AL,236335.39
01083,2019,AL,27150.48
01085,1990,AL,170038.88999999998
01085,2010,AL,0
01085,2011,AL,10631.91
01085,2017,AL,464.18
01087,2010,AL,10829.86
01087,2015,AL,13583.59
01089,1977,AL,971.56
01089,1978,AL,0
01089,1979,AL,336353.04000000004
01089,1980,AL,29197.45
01089,1982,AL,968.61
01089,1983,AL,114883.43
01089,1984,AL,0
01089,1986,AL,264.63
01089,1987,AL,0
01089,1988,AL,441.19
01089,1989,AL,5442.64
01089,1990,AL,680496.91
01089,1991,AL,56858.89
01089,1992,AL,0
01089,1993,AL,0
01089,1994,AL,31820.25
01089,1995,AL,6858.08
01089,1996,AL,6290.99
01089,1997,AL,3670.16
01089,1998,AL,56516
01089,1999,AL,3820053.67
01089,2000,AL,12483.67
01089,2001,AL,0
01089,2002,AL,0
01089,2003,AL,1285296.3699999999
01089,2004,AL,96363.97
01089,2005,AL,6073.16
01089,2006,AL,1493.8
01089,2007,AL,114282.22
01089,2008,AL,18465.85
01089,2009,AL,354116.8
01089,2010,AL,18955.620000000003
01089,2011,AL,354079.97000000003
01089,2012,AL,56338.53
01089,2013,AL,154409.45
01089,2014,AL,15744.36
01089,2015,AL,468752.05
01089,2016,AL,29918.86
01089,2017,AL,1180273.8599999999
01089,2018,AL,26632.2
01089,2019,AL,263866.83
01091,1979,AL,18947.530000000002
01091,1980,AL,10278.45
01091,1983,AL,6645.45
01091,1985,AL,1245.42
01091,1990,AL,13941.88
01091,1991,AL,51346.63
01091,1995,AL,1265.38
01091,1997,AL,2330.9
01091,1998,AL,16921.33
01091,2004,AL,0
01091,2011,AL,0
01091,2012,AL,7124.85
01091,2016,AL,5772.22
01091,2019,AL,6961.55
01093,1997,AL,10221.81
01093,1999,AL,15734.810000000001
01093,2001,AL,4325.47
01093,2002,AL,7083.35
01093,2009,AL,42211.82
01093,2015,AL,89957.6
01095,1979,AL,18000
01095,1982,AL,60000
01095,1997,AL,141.36
01095,2001,AL,92461.25
01095,2002,AL,65880.5
01095,2004,AL,21820.969999999998
01095,2010,AL,80046.7
01095,2011,AL,65855.52
01095,2013,AL,44913.45
01095,2015,AL,134154.07
01095,2017,AL,19969.72
01095,2018,AL,4917.98
01097,1974,AL,0
01097,1977,AL,1567.84
01097,1978,AL,85483.85
01097,1979,AL,20814424.79
01097,1980,AL,6214355.6899999995
01097,1981,AL,17856063.02
01097,1982,AL,60164.24
01097,1983,AL,1233823.22
01097,1984,AL,119343.04999999999
01097,1985,AL,1547164.5799999998
01097,1986,AL,270.28
01097,1987,AL,36871.12
01097,1988,AL,10573.23
01097,1989,AL,203281
01097,1990,AL,438836.19
01097,1991,AL,23039.95
01097,1992,AL,3847.0499999999997
01097,1993,AL,115620.94
01097,1994,AL,11902.900000000001
01097,1995,AL,1009154
01097,1996,AL,288932.72
01097,1997,AL,5321399.619999999
01097,1998,AL,36749449.96
01097,1999,AL,123596.86
01097,2000,AL,31688.24
01097,2001,AL,91996.87
01097,2002,AL,2656771.07
01097,2003,AL,176118.80000000002
01097,2004,AL,26957361.73
01097,2005,AL,226399187.28
01097,2006,AL,94589.23999999999
01097,2007,AL,195152.90999999997
01097,2008,AL,2358163.59
01097,2009,AL,2193408.18
01097,2010,AL,210401.46
01097,2011,AL,22256.469999999998
01097,2012,AL,1519528.05
01097,2013,AL,170168.77
01097,2014,AL,2350568
01097,2015,AL,1595085.8499999999
01097,2016,AL,1636.25
01097,2017,AL,4795016.21
01097,2018,AL,155769.46
01097,2019,AL,16912.58
01099,1977,AL,1306.44
01099,1979,AL,16015.2
01099,1980,AL,19985.75
01099,1983,AL,485
01099,1985,AL,3887.2
01099,1990,AL,58425.670000000006
01099,2004,AL,19354.95
01099,2005,AL,7058.94
01099,2013,AL,6059.37
01099,2016,AL,1378.67
01099,2019,AL,1745.62
01101,1978,AL,305
01101,1979,AL,346777.13
01101,1980,AL,242.37
01101,1981,AL,145388.18
01101,1982,AL,31535.149999999998
01101,1983,AL,166794.74
01101,1984,AL,0
01101,1985,AL,0
01101,1987,AL,0
01101,1989,AL,4113.59
01101,1990,AL,453717.92
01101,1991,AL,40863.85
01101,1992,AL,1749.71
01101,1993,AL,0
01101,1994,AL,27558.370000000003
01101,1995,AL,303906.35
01101,1996,AL,33330.93
01101,1997,AL,16593.6
01101,1998,AL,43049.31
01101,1999,AL,3445.44
01101,2000,AL,1473.85
01101,2001,AL,126269.36
01101,2002,AL,6342.31
01101,2003,AL,31502.12
01101,2004,AL,99919.16
01101,2005,AL,390921.84
01101,2006,AL,76046.64
01101,2007,AL,0
01101,2008,AL,27770.73
01101,2009,AL,2508880.31
01101,2010,AL,12879.04
01101,2012,AL,16946.879999999997
01101,2013,AL,47430.95
01101,2014,AL,30617.5
01101,2015,AL,153767.30000000002
01101,2016,AL,3355.13
01101,2017,AL,384959.07999999996
01101,2018,AL,9840.33
01101,2019,AL,87738.7
01103,1978,AL,6211.07
01103,1979,AL,33192.62
01103,1980,AL,5157.03
01103,1983,AL,17094.72
01103,1984,AL,8250.68
01103,1985,AL,0
01103,1987,AL,0
01103,1988,AL,17747.46
01103,1990,AL,70830.72
01103,1991,AL,30623.83
01103,1992,AL,44461.17999999999
01103,1994,AL,28753.78
01103,1995,AL,20747.559999999998
01103,1996,AL,0
01103,1997,AL,14378.04
01103,1998,AL,34344.98
01103,1999,AL,23025.190000000002
01103,2000,AL,20471.24
01103,2001,AL,20689.48
01103,2002,AL,6155.67
01103,2003,AL,393794.7
01103,2004,AL,46181.24
01103,2005,AL,57684.92
01103,2006,AL,0
01103,2008,AL,112671.17000000001
01103,2009,AL,338074.61
01103,2010,AL,28580.21
01103,2011,AL,93042.43000000001
01103,2013,AL,510896.85000000003
01103,2014,AL,3351.57
01103,2015,AL,677013.31
01103,2018,AL,66351.66
01103,2019,AL,158215.73
01105,1983,AL,919.04
01105,1990,AL,7314.9
01107,1978,AL,3800
01107,1979,AL,15481.32
01107,1980,AL,58.45
01107,1982,AL,1235.3999999999999
01107,1983,AL,103648.63
01107,1990,AL,69634.69
01107,1991,AL,173108.4
01107,1994,AL,3533.35
01107,1995,AL,2750.05
01107,2000,AL,79084.34
01107,2002,AL,2229.81
01107,2004,AL,137578.12
01107,2009,AL,5744.73
01107,2011,AL,0
01107,2014,AL,0
01107,2018,AL,0
01107,2019,AL,275514.88
01109,1981,AL,0
01109,1990,AL,10276.18
01111,2017,AL,15828.970000000001
01113,1981,AL,1308.63
01113,1982,AL,0
01113,1984,AL,877.01
01113,1986,AL,5243.37
01113,1989,AL,0
01113,1990,AL,14950.45
01113,1996,AL,3916.34
01113,1997,AL,0
01113,2001,AL,2635.6
01113,2009,AL,35911.880000000005
01113,2012,AL,18129.16
01113,2013,AL,0
01113,2014,AL,0
01113,2015,AL,40336.75
01113,2017,AL,160417.78
01113,2019,AL,21094.28
01115,1979,AL,13791.59
01115,1980,AL,238.2
01115,1982,AL,0
01115,1983,AL,0
01115,1985,AL,0
01115,1990,AL,4648.11
01115,1995,AL,6425.2
01115,1996,AL,836.01
01115,1997,AL,1465.47
01115,1999,AL,0
01115,2000,AL,13570.98
01115,2001,AL,5982.95
01115,2002,AL,16251.68
01115,2003,AL,168537.6
01115,2004,AL,64937.81
01115,2005,AL,117042.31
01115,2008,AL,5760.63
01115,2009,AL,54875.25
01115,2011,AL,34325.4
01115,2012,AL,0
01115,2013,AL,79840.25
01115,2014,AL,22542.27
01115,2015,AL,109349.72
01115,2016,AL,0
01115,2018,AL,0
01115,2019,AL,416641.31
01117,1979,AL,417565.74
01117,1980,AL,1116.06
01117,1982,AL,0
01117,1983,AL,729480.71
01117,1988,AL,3982.03
01117,1990,AL,1834180.27
01117,1992,AL,13123.66
01117,1993,AL,2278.81
01117,1994,AL,5178.87
01117,1995,AL,0
01117,1996,AL,508618.65
01117,1997,AL,5684.360000000001
01117,1998,AL,48325.3
01117,2000,AL,19501.5
01117,2001,AL,74183.17
01117,2002,AL,179893.1
01117,2003,AL,912457.59
01117,2004,AL,97594.11
01117,2005,AL,252109.16999999998
01117,2006,AL,3287.89
01117,2007,AL,0
01117,2009,AL,156695.97
01117,2010,AL,340419.38
01117,2011,AL,821.16
01117,2012,AL,741645.06
01117,2013,AL,20169.02
01117,2014,AL,2163009.2199999997
01117,2015,AL,292617.26
01117,2016,AL,2880.12
01117,2017,AL,439993.24
01117,2018,AL,89913.82
01117,2019,AL,9041.79
01119,1979,AL,20874.37
01119,1983,AL,891.81
01119,1990,AL,51579.83
01119,1991,AL,31582.14
01119,1997,AL,0
01119,1998,AL,11809
01119,2003,AL,53904.38
01119,2009,AL,0
01119,2019,AL,17223.629999999997
01121,1979,AL,53829.740000000005
01121,1980,AL,5277.67
01121,1982,AL,19987.43
01121,1983,AL,2623.01
01121,1984,AL,5263.89
01121,1988,AL,2439.2799999999997
01121,1990,AL,6102.6
01121,1991,AL,881.75
01121,1995,AL,17050.33
01121,1996,AL,0
01121,1998,AL,0
01121,2000,AL,0
01121,2001,AL,187.4
01121,2002,AL,0
01121,2003,AL,88269.31
01121,2004,AL,206.8
01121,2006,AL,0
01121,2009,AL,430393.79000000004
01121,2010,AL,29455.600000000002
01121,2013,AL,332021.32
01121,2014,AL,10213.51
01121,2015,AL,40882.42
01121,2018,AL,26000.35
01121,2019,AL,0
01123,2008,AL,0
01123,2009,AL,0
01123,2013,AL,8346.71
01123,2014,AL,0
01123,2015,AL,27954.25
01125,1977,AL,158.91
01125,1979,AL,251499.19999999998
01125,1980,AL,16964.26
01125,1981,AL,5830.09
01125,1982,AL,9827.31
01125,1983,AL,44189.64
