state,yearofloss,amount_paid,cum_paid
NC,1982,1293424.42,6765498.319999999
ND,1982,116866.76000000001,8411161.12
NE,1982,787434.96,2635545.11
NH,1982,36558.86,1501691.54
NJ,1982,787509.7000000001,25779918.71
NM,1982,10412.75,261170.57
NV,1982,28190.34,125271
NY,1982,3609217.29,69325124.05
OH,1982,6253594.29,20901944.03
OK,1982,882564.8500000001,3389665.61
OR,1982,273668.08,1500750.96
PA,1982,6620827.09,32383726.46
PR,1982,1105562.8,14067336.950000001
RI,1982,2189249.4,5341898.89
SC,1982,236379.45,2099449.0300000003
SD,1982,92926.08,411789.36
TN,1982,1261876.75,5091737.13
TX,1982,15685912.42,334124701.26000005
UT,1982,319670.5,405396.32
VA,1982,1522904.15,9288892.65
VI,1982,2689.12,1038649.15
VT,1982,99764.01,498036.31
WA,1982,686053.6,8562880.82
WI,1982,98106.08,1564764.13
WV,1982,322392.72,15928463.44
WY,1982,50006.26,226511.82
AK,1983,19663.18,128067.43
AL,1983,4840151.94,75233065.4
AR,1983,888026.11,6986810.35
AZ,1983,6053266.42,12663312.11
CA,1983,31715886.31,65897253.16
CO,1983,462913.45,2453732.36
CT,1983,1266770.98,22421316.89
DC,1983,20039.75,169911.84
DE,1983,106636.77,865024.24
FL,1983,1437122.03,36357985.160000004
GA,1983,543425.5,6894664.04
HI,1983,337842.62,6077271.5200000005
IA,1983,163755.61,1693418.59
ID,1983,123174.94,407610.54000000004
IL,1983,6241335.83,45402075.98
IN,1983,665208.05,10135824.13
KS,1983,966870.32,7886073.77
KY,1983,745999.45,13443282.7
LA,1983,127461228.12,344731968.74
MA,1983,935395.7,31487068.330000002
MD,1983,157391.22,10460736.8
ME,1983,664099.61,4692706.399999999
MI,1983,832732.25,5871386.38
MN,1983,1152813.83,12628490.09
MO,1983,15661072.780000001,71729534.57
MS,1983,51098169.89,89302263.82000001
MT,1983,11110.17,1816417.3499999999
NC,1983,1267642.74,8033141.06
ND,1983,50555.26,8461716.379999999
NE,1983,182529.37,2818074.48
NH,1983,69886.54,1571578.08
NJ,1983,4365959.6,30145878.31
NM,1983,22412.39,283582.96
NV,1983,541336.88,666607.88
NY,1983,5198177.77,74523301.82
OH,1983,605802.9400000001,21507746.97
OK,1983,1288513.69,4678179.3
OR,1983,384632.89,1885383.85
PA,1983,4985172.66,37368899.12
PR,1983,1218877.17,15286214.120000001
RI,1983,1116864.22,6458763.109999999
