FIPS,State,County,Wildfire
18051,IN,NA,Low
18053,IN,NA,Low
18055,IN,NA,Low
18057,IN,NA,Low
18059,IN,NA,Low
18061,IN,NA,Low
18063,IN,NA,Low
18065,IN,NA,Low
18067,IN,NA,Low
18069,IN,NA,Low
18071,IN,NA,Low
18073,IN,NA,Low
18075,IN,NA,Low
18077,IN,NA,Low
18079,IN,NA,Low
18081,IN,NA,Low
18083,IN,NA,Low
18085,IN,NA,Low
18087,IN,NA,Low
18089,IN,NA,Low
18091,IN,NA,Low
18093,IN,NA,Low
18095,IN,NA,Low
18097,IN,NA,Low
18099,IN,NA,Low
18101,IN,NA,Low
18103,IN,NA,Low
18105,IN,NA,Low
18107,IN,NA,Low
18109,IN,NA,Low
18111,IN,NA,Low
18113,IN,NA,Low
18115,IN,NA,Low
18117,IN,NA,Low
18119,IN,NA,Low
18121,IN,NA,Low
18123,IN,NA,Low
18125,IN,NA,Low
18127,IN,NA,Low
18129,IN,NA,Low
18131,IN,NA,Low
18133,IN,NA,Low
18135,IN,NA,Low
18137,IN,NA,Low
18139,IN,NA,Low
18141,IN,NA,Low
18143,IN,NA,Low
18145,IN,NA,Low
18147,IN,NA,Low
18149,IN,NA,Low
18151,IN,NA,Low
18153,IN,NA,Low
18155,IN,NA,Low
18157,IN,NA,Low
18159,IN,NA,Low
18161,IN,NA,Low
18163,IN,NA,Low
18165,IN,NA,Low
18167,IN,NA,Low
18169,IN,NA,Low
18171,IN,NA,Low
18173,IN,NA,Low
18175,IN,NA,Low
18177,IN,NA,Low
18179,IN,NA,Low
18181,IN,NA,Low
18183,IN,NA,Low
19001,IA,NA,Low
19003,IA,NA,Low
19005,IA,NA,Low
19007,IA,NA,Low
19009,IA,NA,Low
19011,IA,NA,Low
19013,IA,NA,Low
19015,IA,NA,Low
19017,IA,NA,Low
19019,IA,NA,Low
19021,IA,NA,Low
19023,IA,NA,Low
19025,IA,NA,Low
19027,IA,NA,Low
19029,IA,NA,Low
19031,IA,NA,Low
19033,IA,NA,Low
19035,IA,NA,Low
19037,IA,NA,Low
19039,IA,NA,Low
19041,IA,NA,Low
19043,IA,NA,Low
19045,IA,NA,Low
19047,IA,NA,Low
19049,IA,NA,Low
19051,IA,NA,Low
19053,IA,NA,Low
19055,IA,NA,Low
19057,IA,NA,Low
19059,IA,NA,Low
19061,IA,NA,Low
19063,IA,NA,Low
19065,IA,NA,Low
19067,IA,NA,Low
19069,IA,NA,Low
19071,IA,NA,Low
19073,IA,NA,Low
19075,IA,NA,Low
19077,IA,NA,Low
19079,IA,NA,Low
19081,IA,NA,Low
19083,IA,NA,Low
19085,IA,NA,Low
19087,IA,NA,Low
19089,IA,NA,Low
19091,IA,NA,Low
19093,IA,NA,Low
19095,IA,NA,Low
19097,IA,NA,Low
19099,IA,NA,Low
19101,IA,NA,Low
19103,IA,NA,Low
19105,IA,NA,Low
19107,IA,NA,Low
19109,IA,NA,Low
19111,IA,NA,Low
19113,IA,NA,Low
19115,IA,NA,Low
19117,IA,NA,Low
19119,IA,NA,Low
19121,IA,NA,Low
19123,IA,NA,Low
19125,IA,NA,Low
19127,IA,NA,Low
19129,IA,NA,Low
19131,IA,NA,Low
19133,IA,NA,Low
19135,IA,NA,Low
19137,IA,NA,Low
19139,IA,NA,Low
19141,IA,NA,Low
19143,IA,NA,Low
19145,IA,NA,Low
19147,IA,NA,Low
19149,IA,NA,Low
19151,IA,NA,Low
19153,IA,NA,Low
19155,IA,NA,Low
19157,IA,NA,Low
19159,IA,NA,Low
19161,IA,NA,Low
19163,IA,NA,Low
19165,IA,NA,Low
19167,IA,NA,Low
19169,IA,NA,Low
19171,IA,NA,Low
19173,IA,NA,Low
19175,IA,NA,Low
19177,IA,NA,Low
19179,IA,NA,Low
19181,IA,NA,Low
19183,IA,NA,Low
19185,IA,NA,Low
19187,IA,NA,Low
19189,IA,NA,Low
19191,IA,NA,Low
19193,IA,NA,Low
19195,IA,NA,Low
19197,IA,NA,Low
20001,KS,NA,Low
20003,KS,NA,Low
20005,KS,NA,Low
20007,KS,NA,Low
20009,KS,NA,Low
20011,KS,NA,Low
20013,KS,NA,Low
20015,KS,Butler,Medium
20017,KS,Chase,High
20019,KS,Chautauqua,High
20021,KS,NA,Low
20023,KS,NA,Low
20025,KS,NA,Low
20027,KS,NA,Low
20029,KS,NA,Low
20031,KS,NA,Low
20033,KS,Comanche,Medium
20035,KS,Cowley,Medium
20037,KS,NA,Low
20039,KS,NA,Low
20041,KS,NA,Low
20043,KS,NA,Low
20045,KS,NA,Low
20047,KS,NA,Low
20049,KS,Elk,Medium
20051,KS,NA,Low
20053,KS,Ellsworth,Medium
20055,KS,NA,Low
20057,KS,NA,Low
20059,KS,NA,Low
20061,KS,Geary,Medium
20063,KS,NA,Low
20065,KS,NA,Low
20067,KS,NA,Low
20069,KS,NA,Low
20071,KS,NA,Low
20073,KS,Greenwood,Medium
20075,KS,NA,Low
20077,KS,NA,Low
20079,KS,NA,Low
20081,KS,NA,Low
20083,KS,NA,Low
20085,KS,NA,Low
20087,KS,NA,Low
20089,KS,NA,Low
20091,KS,NA,Low
20093,KS,NA,Low
20095,KS,NA,Low
20097,KS,NA,Low
20099,KS,NA,Low
20101,KS,NA,Low
20103,KS,NA,Low
20105,KS,NA,Low
20107,KS,NA,Low
20109,KS,NA,Low
20111,KS,Lyon,Medium
20113,KS,NA,Low
20115,KS,NA,Low
20117,KS,NA,Low
20119,KS,NA,Low
20121,KS,NA,Low
20123,KS,NA,Low
20125,KS,NA,Low
20127,KS,Morris,Medium
20129,KS,NA,Low
20131,KS,NA,Low
20133,KS,NA,Low
20135,KS,NA,Low
20137,KS,NA,Low
20139,KS,NA,Low
20141,KS,NA,Low
20143,KS,NA,Low
20145,KS,NA,Low
20147,KS,NA,Low
20149,KS,Pottawatomie,Medium
20151,KS,NA,Low
20153,KS,NA,Low
20155,KS,NA,Low
20157,KS,NA,Low
20159,KS,NA,Low
20161,KS,NA,Low
20163,KS,NA,Low
20165,KS,NA,Low
20167,KS,NA,Low
20169,KS,NA,Low
20171,KS,NA,Low
20173,KS,NA,Low
20175,KS,NA,Low
20177,KS,NA,Low
20179,KS,NA,Low
20181,KS,NA,Low
20183,KS,NA,Low
20185,KS,NA,Low
20187,KS,NA,Low
20189,KS,NA,Low
20191,KS,NA,Low
20193,KS,NA,Low
20195,KS,NA,Low
20197,KS,Wabaunsee,Medium
20199,KS,NA,Low
20201,KS,NA,Low
20203,KS,NA,Low
20205,KS,NA,Low
20207,KS,NA,Low
20209,KS,NA,Low
21001,KY,NA,Low
21003,KY,NA,Low
21005,KY,NA,Low
21007,KY,NA,Low
21009,KY,NA,Low
21011,KY,NA,Low
21013,KY,NA,Low
21015,KY,NA,Low
21017,KY,NA,Low
21019,KY,NA,Low
21021,KY,NA,Low
21023,KY,NA,Low
21025,KY,NA,Low
21027,KY,NA,Low
21029,KY,NA,Low
21031,KY,NA,Low
21033,KY,NA,Low
21035,KY,NA,Low
21037,KY,NA,Low
21039,KY,NA,Low
21041,KY,NA,Low
21043,KY,NA,Low
21045,KY,NA,Low
21047,KY,NA,Low
21049,KY,NA,Low
21051,KY,NA,Low
21053,KY,NA,Low
21055,KY,NA,Low
21057,KY,NA,Low
21059,KY,NA,Low
21061,KY,NA,Low
21063,KY,NA,Low
21065,KY,NA,Low
21067,KY,NA,Low
21069,KY,NA,Low
21071,KY,NA,Low
21073,KY,NA,Low
21075,KY,NA,Low
21077,KY,NA,Low
21079,KY,Garrard,Medium
21081,KY,NA,Low
21083,KY,NA,Low
21085,KY,NA,Low
21087,KY,NA,Low
21089,KY,NA,Low
21091,KY,NA,Low
21093,KY,NA,Low
21095,KY,NA,Low
21097,KY,NA,Low
21099,KY,NA,Low
21101,KY,NA,Low
21103,KY,NA,Low
21105,KY,NA,Low
21107,KY,NA,Low
21109,KY,Jackson,High
21111,KY,NA,Low
21113,KY,NA,Low
21115,KY,NA,Low
21117,KY,NA,Low
21119,KY,NA,Low
21121,KY,Knox,Medium
21123,KY,NA,Low
21125,KY,Laurel,High
21127,KY,Lawrence,Medium
21129,KY,Lee,Medium
21131,KY,NA,Low
21133,KY,NA,Low
21135,KY,NA,Low
21137,KY,NA,Low
21139,KY,NA,Low
21141,KY,NA,Low
21143,KY,NA,Low
21145,KY,NA,Low
21147,KY,NA,Low
21149,KY,NA,Low
21151,KY,Madison,Medium
21153,KY,NA,Low
21155,KY,NA,Low
21157,KY,NA,Low
21159,KY,NA,Low
21161,KY,NA,Low
21163,KY,NA,Low
21165,KY,NA,Low
21167,KY,NA,Low
21169,KY,NA,Low
21171,KY,NA,Low
21173,KY,NA,Low
21175,KY,Morgan,Medium
21177,KY,NA,Low
21179,KY,NA,Low
21181,KY,NA,Low
21183,KY,NA,Low
21185,KY,NA,Low
21187,KY,NA,Low
21189,KY,Owsley,Medium
21191,KY,NA,Low
21193,KY,NA,Low
21195,KY,NA,Low
21197,KY,NA,Low
21199,KY,NA,Low
21201,KY,NA,Low
21203,KY,Rockcastle,Medium
21205,KY,NA,Low
21207,KY,NA,Low
21209,KY,NA,Low
21211,KY,NA,Low
21213,KY,NA,Low
21215,KY,NA,Low
21217,KY,NA,Low
21219,KY,NA,Low
21221,KY,NA,Low
